name,rating,review,address,plus code,website,phone,photoUrl
170 Amsterdam Apartments,4.9,17 reviews,"170 Amsterdam Ave, New York, NY 10023",Q2G8+9C New York,equityapartments.com,(646) 601-7257,https://lh6.googleusercontent.com/proxy/v7fcKOVpIUXhTf8iLE4518SE0cQ8LRU_SzlmWOPWrqOHLZFaeB3DStFsAk_VDLrByAJZW8V319dRJluKY-S9SlrOPBaj3z9fTv3F4v2xTKlEWUIbrVRAOeywSwyNGmS5njkHeznUDigHdinEHWeBLYkdic5mHg=w360-h201-k-no
"82 West 12th Street, New York, NY 10011",5.0,1 review,"632 Broadway, New York, NY 10012",P2G3+9P New York,82west12.com,(212) 753-7702,https://geo0.ggpht.com/cbk?panoid=nT8m2lcZyc5FpV44IsBJ4w&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=127.39895&pitch=0&thumbfov=100
River Place,4.5,25 reviews,"650 W 42nd St, New York, NY 10036",QX6X+9W New York,riverplacenyc.com,(212) 719-9000,https://geo2.ggpht.com/cbk?panoid=y8QnsbSgY-raBBfJgx8NRg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=205.30228&pitch=0&thumbfov=100
Furnished apartments new york,2.0,1 review,"15 E 40th St, New York, NY 10016",Q229+QQ New York,apt168.com,(212) 229-9188,https://geo0.ggpht.com/cbk?panoid=W24FiZ0bAMEHMEDVJe8GMg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=360&h=120&yaw=27.946688&pitch=0&thumbfov=100
Beatrice Apartments,4.8,36 reviews,"105 W 29th St, New York, NY 10001",P2W5+QR New York,equityapartments.com,(212) 760-2929,https://lh6.googleusercontent.com/proxy/YOX5oMJtRp437gUJgM_1c0guTXbXgjJ57Ayg_iAUZKbvcQhK_60jwGc5Sbn6sBc4Sx1ZsC5H0S0W4bNfWVucy3K2wvPElkdww_qq3qeb8mV0jHZHsFh1Uof1zVQhUqY0xZkdoFhJtYgLYtofYkt6Ir6kGUrBiTg=w140-h140-k-no
The Vogue Apartments,3.6,26 reviews,"990 6th Ave, New York, NY 10018",Q227+HG New York,thevoguenewyork.com,(212) 947-6200,https://geo2.ggpht.com/cbk?panoid=fSLwtuKm-86cbu3XL_BeEQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=119.11961&pitch=0&thumbfov=100
Atlas New York,5.0,8 reviews,"66 W 38th St, New York, NY 10018",Q227+RQ New York,atlasny.com,(212) 402-5300,https://geo2.ggpht.com/cbk?panoid=TaRk7M8jGYaTbcoyDXWW9w&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=230.19919&pitch=0&thumbfov=100
21 West End Apartments,4.6,21 reviews,"21 West End Ave, New York, NY 10023",Q2F5+5Q New York,21westendnyc.com,(212) 707-8700,https://lh5.googleusercontent.com/p/AF1QipOlOjFLeoSYyt_mK8TtWXzPu4gqONwUou8987Q=w114-h120-k-no-pi-0-ya228.93999-ro-0-fo100
VIA 57 West,3.5,65 reviews,"625 W 57th St, New York, NY 10019",Q2C4+FP New York,via57west.com,(646) 630-7917,https://geo2.ggpht.com/cbk?panoid=paoVWDrecxxFU2DeY2WKsQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=12.252865&pitch=0&thumbfov=100
Webster Apartments,3.8,36 reviews,"419 W 34th St, New York, NY 10001",Q233+J4 New York,websterapartments.org,(212) 967-9000,https://geo1.ggpht.com/cbk?panoid=2MeUup2C4wF1qb2SP7ibtQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=22.762886&pitch=0&thumbfov=100
Avalon Clinton,4.5,129 reviews,"515 W 52nd St, New York, NY 10019",Q285+C6 New York,avaloncommunities.com,(646) 520-4935,https://lh5.googleusercontent.com/p/AF1QipMUAapHiyiIWOWOpRi0e8bYTVY1e4ybzSeUwARB=w114-h120-k-no-pi-0.8085871-ya221.6301-ro0.97611856-fo100
70 Pine,4.1,10 reviews,"70 Pine St, New York, NY 10005",PX4R+JW New York,70pine.com,(646) 580-9959,https://lh5.googleusercontent.com/p/AF1QipPLdQ8AMT17PnGaAvkyt8fgjcq2dsfdQUnB-Hym=w114-h120-k-no-pi-2.9338646-ya34.500004-ro-0-fo100
Rivergate Apartments,3.0,8 reviews,"401 E 34th St, New York, NY 10016",P2VG+FV New York,-,(212) 889-1850,https://lh5.googleusercontent.com/p/AF1QipOY7JaMPbuvfGMsPEG-a-VndqdfDhhbbxSTrJya=w114-h120-k-no-pi-0-ya154.26309-ro0-fo100
71 Broadway Apartments,4.7,32 reviews,"71 Broadway, New York, NY 10006",PX4Q+X3 New York,equityapartments.com,(212) 344-7171,https://geo0.ggpht.com/cbk?panoid=HU8VXGGLFlV1EafFsB5mdg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=306.37372&pitch=0&thumbfov=100
MiMA Luxury Apartments,4.3,16 reviews,"450 W 42nd St, New York, NY 10036",Q254+H8 New York,relatedrentals.com,(646) 992-4142,https://geo2.ggpht.com/cbk?panoid=mZd7TgogYvCoFeDXh8JQTw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=201.44432&pitch=0&thumbfov=100
AKA United Nations,4.6,26 reviews,"234 E 46th St, New York, NY 10017",Q23H+2C New York,stayaka.com,(646) 291-4200,https://geo3.ggpht.com/cbk?panoid=0mycaEPDyxcq4yVBkRT_BA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=192.87779&pitch=0&thumbfov=100
"Apartments in new york city, Furnished Aparment, Luxury Apartments",-,-,"330 W 38th St #1606, New York, NY 10018",Q244+4J New York,apartment168.com,(212) 685-1188,https://geo1.ggpht.com/cbk?panoid=dMZzCujrkefEHlvENfY54Q&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=360&h=120&yaw=197.54012&pitch=0&thumbfov=100
Longacre House Apartments,4.7,13 reviews,"305 W 50th St, New York, NY 10019",Q277+3F New York,equityapartments.com,(212) 489-9808,https://lh5.googleusercontent.com/p/AF1QipMFHuLAzWNJOg_iHwFUkwo1TxB105MB5OJ4OCc-=w114-h120-k-no-pi-3.4912581-ya323.15686-ro1.0227835-fo100
Tribeca Park Luxury Apartments,5.0,2 reviews,"400 Chambers St, New York, NY 10282",PX9P+55 New York,relatedrentals.com,(646) 992-4156,https://geo3.ggpht.com/cbk?panoid=c3avtKfZlCJYXkVFLrWczw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=210.52959&pitch=0&thumbfov=100
"The Ritz-Carlton Residences, New York, Battery Park",3.9,12 reviews,"10 West St, New York, NY 10004",PX4M+62 New York,ritzcarlton.com,(917) 790-2574,https://geo0.ggpht.com/cbk?panoid=YjUVLAu98ZoCypjvuzZs5Q&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=294.18097&pitch=0&thumbfov=100
Glenwood - The Marlowe Luxury Apartments,3.0,1 review,"145 E 81st St, New York, NY 10028",Q2GR+GX New York,glenwoodnyc.com,(212) 737-3300,https://geo2.ggpht.com/cbk?panoid=NAgXS4Sp4MDMfEJ9vDNvig&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=360&h=120&yaw=33.613815&pitch=0&thumbfov=100
140 Riverside Boulevard Apartments,4.7,16 reviews,"140 Riverside Blvd, New York, NY 10069",Q2G6+VC New York,equityapartments.com,(212) 678-1000,https://geo2.ggpht.com/cbk?panoid=Qbm3Eu80MDrA6vbOQRyoKQ&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=63.41588&pitch=0&thumbfov=100
Prism at Park Avenue South Apartments,4.9,140 reviews,"50 E 28th St, New York, NY 10016",P2V8+95 New York,equityapartments.com,(646) 762-3197,https://lh5.googleusercontent.com/p/AF1QipMgU84oZm5KsPooVvFm0z_FFpDFI6xzRa_fiTGX=w114-h120-k-no-pi-15.025047-ya239.37161-ro0.017460782-fo100
63 Wall St Apartments,3.7,13 reviews,"63 Wall St, New York, NY 10005",PX4R+6F New York,63wallstreet.com,(855) 503-5658,https://lh5.googleusercontent.com/p/AF1QipNdmCTxndRj9XQkrceDiNiWeUmswaFBCBE5-2A5=w114-h120-k-no-pi-2.9338646-ya2.5000165-ro-0-fo100
Mantena Apartments,4.6,9 reviews,"431 W 37th St, New York, NY 10018",Q243+CC New York,equityapartments.com,(212) 244-3737,https://geo0.ggpht.com/cbk?panoid=sV6M_mGqJX3C6Arc5L3aeA&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=36.61916&pitch=0&thumbfov=100
Ten23 Apartments,4.9,17 reviews,"500 W 23rd St, New York, NY 10011",PXXW+24 New York,equityapartments.com,(212) 352-1023,https://lh5.googleusercontent.com/p/AF1QipNBQ3M5MC9DYqy5bGl_SM2B5Z4GMyyJgmTnuyiX=w211-h120-k-no-pi-20.299204-ya85.93792-ro-14.249985-fo100
Avalon Morningside Park,4.7,58 reviews,"1 Morningside Dr, New York, NY 10025",R22Q+X9 New York,avaloncommunities.com,(646) 520-4943,https://geo2.ggpht.com/cbk?panoid=NVxMhGLULUnxlsz4ePi46w&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=342.2188&pitch=0&thumbfov=100
Glenwood - Liberty Plaza Luxury Apartments,-,-,"10 Liberty St, New York, NY 10005",PX4R+XP New York,glenwoodnyc.com,(212) 430-5900,https://geo1.ggpht.com/cbk?panoid=WOHnSAeZRHx_Ss3yUO88gw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=228.52254&pitch=0&thumbfov=100
AVA High Line,4.8,109 reviews,"525 W 28th St, New York, NY 10001",QX2W+MM New York,avaloncommunities.com,(646) 507-5171,https://lh5.googleusercontent.com/p/AF1QipMgDsqSdafkxEDWQpOuyJ74QwnCYMPwy5hosc_f=w114-h120-k-no-pi0.98049355-ya17.120619-ro1.0622697-fo100
1214 Fifth Avenue Luxury Apartments,4.8,8 reviews,"1214 5th Ave, New York, NY 10029",Q2RW+HV New York,relatedrentals.com,(646) 992-4137,https://lh5.googleusercontent.com/p/AF1QipOVHdJB4cHi5mLiD6pUgnRIvGk1O93PZfKS_nTB=w114-h120-k-no-pi-2.9338646-ya169.5-ro-0-fo100
600 Washington Apartments,5.0,12 reviews,"600 Washington St, New York, NY 10014",PXJR+77 New York,equityapartments.com,(212) 206-3824,https://geo1.ggpht.com/cbk?panoid=jmfSqB11T13-4bLd0q4Lxg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=268.37863&pitch=0&thumbfov=100
Glenwood - Crystal Green Luxury Apartments,4.3,4 reviews,"330 W 39th St, New York, NY 10018",Q244+8V New York,glenwoodnyc.com,(212) 629-3939,https://geo1.ggpht.com/cbk?panoid=WT_d3uS05BXzwoaOw9Rl2A&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=209.81136&pitch=0&thumbfov=100
Avalon Bowery Place,4.9,59 reviews,"11 E 1st St, New York, NY 10003",P2F5+P8 New York,avaloncommunities.com,(646) 507-5169,https://lh5.googleusercontent.com/p/AF1QipNeS9xmZq64Vi2deEPBK_9woJ8WHxcSH2Zlce7t=w114-h120-k-no-pi1.0875442-ya124.423485-ro-0.59237856-fo100
The Chelsea Apartments,3.1,11 reviews,"160 W 24th St, New York, NY 10011",P2V4+Q2 New York,thechelseaapts.com,(212) 627-8377,https://lh6.googleusercontent.com/proxy/fmHz-I9GNZeBGMsla61eIxIayZC9SuigmN4mVKTRkLig3HzZPFniDKxM3Joi04SCpt-rY_QHiD_CL5yqqwS0m-Q-aECfNDAxWrgwhcadY_34iM_CHEsQh0-cob1FhvBUm9QcMjRdDdF0RqElBEqQ1FTxr8gsTQ=w181-h120-k-no
The Westminster Luxury Apartments,3.3,3 reviews,"180 W 20th St, New York, NY 10011",P2R3+Q8 New York,relatedrentals.com,(646) 992-4150,https://geo1.ggpht.com/cbk?panoid=yZckY09hamZVNkxe0tWLvw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=47.813286&pitch=0&thumbfov=100
Furnished Quarters,5.0,1 review,"201 E 69th St, New York, NY 10021",Q29Q+49 New York,furnishedquarters.com,(800) 255-8117,https://geo2.ggpht.com/cbk?panoid=fXJxA09I9ksEpWYcFq0rGg&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=360&h=120&yaw=9.871461&pitch=0&thumbfov=100
New York Telephone Company Building,5.0,2 reviews,"140 West St, New York, NY 10007",PX7P+GR New York,-,-,https://geo2.ggpht.com/cbk?panoid=qjnSyJ1sc0o7HRqzG4yVTw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=107.16875&pitch=0&thumbfov=100
The Aldyn,4.7,6 reviews,"60 Riverside Blvd, New York, NY 10069",Q2F5+RJ New York,thealdynnyc.com,(844) 243-7289,https://geo0.ggpht.com/cbk?panoid=mjZJLasQbIbAye6wbU8DQw&output=thumbnail&cb_client=search.TACTILE.gps&thumb=2&w=211&h=120&yaw=144.5988&pitch=0&thumbfov=100
10 Hanover Square,4.2,30 reviews,"10 Hanover Square, New York, NY 10005",PX3R+RC New York,udr.com,(646) 762-0492,https://lh6.googleusercontent.com/proxy/bmP40HkWrV7y03qHmRKVtNp4sCZ5q-ZvK9RHHk8WhAB7Yt4iDYOo6BYBjK40OK73T0csMX3IVa47tb1THXdMyuAak_N-d95O6tA1RRW21Him_NYCtwcjz92keyeiZebaA0ZDPv1IzSgg9KqLlZEwbCJl2bd8Bw=w261-h120-k-no
